Carimbo de data/hora,Nome do pesquisador,Local da pesquisa,Qual a sua idade?,Qual o gênero com o qual você se identifica?,Você se autodeclara em relação a raça/cor?,Em qual bairro você mora? Caso não esteja listado responder na próxima pergunta.,Bairro (Outro):,Qual sua atividade principal,Você possui alguma atividade secundária?,Existe um local seguro para guardar bicicleta no meu local de estudo,Por qual motivo você não usa bicicleta para ir para escola/faculdade/curso?,"Você utiliza bicicleta nos seus deslocamentos, mesmo que de forma secundária ou poucas vezes no mês?",Com que frequência você pedala,Você tem medo de acidentes quando pedala em Fortaleza?,O que precisa melhorar para que você pedale de forma mais confortável e segura em Fortaleza? (pode marcar várias),Seus destinos de trabalho/estudo/lazer ou outros são próximos de você? (Até 15min),Porque você escolhe andar de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_ciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_ciclista,Porque você não anda mais de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_nciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Possuo bicicleta em casa],Você concorda com as seguintes afirmações? [Tenho acesso a bicicleta de outra pessoa ou de bicicletas públicas],Você concorda com as seguintes afirmações? [Meus destinos de trabalho/estudo/outros são proximos da minha casa (15min)],Você concorda com as seguintes afirmações? [Tenho medo de sofrer um acidente de trânsito],Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_nciclista,Qual meio de transporte você mais utiliza no dia a dia para suas atividades diárias? (Modo principal),"Você utiliza algum outro meio de transporte secundário? (se não, deixar em branco)",Você gostaria de mudar seu meio de transporte principal? Para qual modo?,Utilizo mais de um ônibus para realizar minha atividade principal trabalho/estudo/outros.,Um dos ônibus que eu pego nas minhas viagens diárias faz uma viagem de curta distância (15min).,Existem locais para guardar minha bicicleta ao longo do meu caminho para minha atividade diária trabalho/estudo/outros.,O que lhe impede de usar bicicleta integrando com o ônibus (usar bicicleta e ônibus) nos seus deslocamentos diários? (Pode marcar várias),Um caminho ou trecho totalmente separado da rua e dos veículos,"Uma rua residencial tranquila, sem ciclofaixa","Uma rua residencial tranquila, com ciclofaixa","Uma rua comercial de bairro, sem ciclofaixa ou ciclovia","Uma rua comercial de bairro, com ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, sem ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclofaixa","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclovia","Uma rodovia, com 4 faixas por sentido e velocidades altas, sem ciclofaixa ou ciclovia.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclofaixa.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclovia.",Você gostaria de pedalar mais do que atualmente?,Você pedalou nos últimos 30 dias?,"Qual é a renda total do seu domicílio? Ou seja, a soma dos rendimentos de todos que moram na sua casa.",Você aprendeu ou foi estimulado a aprender a andar de bicicleta na infância?,SR,Tipo de ciclistas,Ciclista,no_sense
2024-02-29T15:17:04.601Z,,Centro da Messejana,18 - 25,Masculino,Pardo (a),Serrinha,,Trabalho fixo,,,,Utilizou muito pouco,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Não sei andar de bicicleta, Tenho medo de sofrer um acidente andando de bicicleta",Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,,Ônibus Municipal ou Vans,Uber carro,Carro,Sim,Concordo fortemente,Sim,"Má qualidade do estacionamento / dificuldade de usar., Não sei andar de bicicleta, Tenho medo de andar de bicicleta",5 - Muito confortável,4,4,3,3,1 - Muito desconfortável,1 - Muito desconfortável,3,1 - Muito desconfortável,1 - Muito desconfortável,2,4 - Concordo,Não,Mais de 5 salários mínimos,,SR 8,"Interessado, mas preocupado",Não ciclista,FALSE
2024-02-29T15:24:52.196Z,,Centro da Messejana,36-40,Masculino,Branco (a),Meireles,,Trabalho fixo,,,,Sim,Mais de 2 vezes por semana,4 - Considero seguro,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Conforto térmico (temperatura na rua), Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.), Distância em relação aos carros, motos e outros meios, Local seguro para guardar a bicicleta",Não,"É mais rápido, É mais barato, Gosto de andar de bicicleta (é prazeroso), É bom pra minha saúde mental",Concordo,Concordo,Discordo,Concordo parcialmente,Discordo,Concordo,,,,,,,,,,,,,,Bicicleta,Ônibus Municipal ou Vans,Não gostaria,,,,,5 - Muito confortável,5 - Muito confortável,4,3,4,2,4,4,1 - Muito desconfortável,4,4,3 - Não sei dizer,Sim,Mais de 5 salários mínimos,Sim,SR 2,Entusiasmado e confiante,Ciclista,FALSE
2024-03-04T11:57:38.196Z,,Centro da Messejana,36-40,Masculino,Branco (a),Meireles,,Trabalho fixo,,,,Utilizou muito pouco,,,,,,,,,,,,Concordo totalmente,É muito quente em Fortaleza para andar de bicicleta,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,,Dirigindo carro,,Bicicleta,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,2,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,4,5 - Muito confortável,5 - Concordo fortemente,Sim,Mais de 5 salários mínimos,,SR 2,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-04T12:03:32.835Z,,Centro da Messejana,36-40,Masculino,Pardo (a),Antônio Bezerra,,Trabalho fixo,,,,Não,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta, Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta",Discordo,Concordo,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,,Dirigindo carro,Uber carro,Metrô ou VLT,,,,,3,3,3,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,3 - Não sei dizer,Não,Mais de 5 salários mínimos,,SR 3,De jeito nenhum,Não ciclista,FALSE
2024-03-04T15:32:50.434Z,,Centro da Messejana,31-35,Masculino,Pardo (a),Aldeota,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,"3 - Nem seguro, nem inseguro","Conforto térmico (temperatura na rua), Menos buracos nas ruas, Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.)",Sim,"Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,,,,,,,,,,,,,,Dirigindo carro,Bicicleta,Bicicleta,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,3,5 - Muito confortável,2,4,5 - Muito confortável,1 - Muito desconfortável,4,5 - Muito confortável,5 - Concordo fortemente,Sim,Mais de 5 salários mínimos,Sim,SR 2,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:09:25Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Barroso,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,Não gosto de andar de bicicleta,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,,Uber moto,A pé,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,3 - Não sei dizer,Não,Entre 1 e 2 salários mínimos,,SR 9,De jeito nenhum,Não ciclista,FALSE
2024-03-05T08:21:42.238Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Serrinha,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,Discordo totalmente,Não sei andar de bicicleta,Concordo totalmente,Concordo,Discordo,Discordo,Concordo parcialmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,,Ônibus Municipal ou Vans,,Carro,Sim,Discordo,Sim,Não sei andar de bicicleta,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 8,Entusiasmado e confiante,Não ciclista,TRUE
2024-03-05T08:22:26.522Z,,Centro da Messejana,41-45,Masculino,Branco (a),Lagoa Redonda,,Trabalho fixo,,,,Utilizo sempre,5 ou mais vezes por semana,1 - Tenho muito medo,Segurança pública (em relação a assaltos),Não,"Não tenho outra opção, É mais rápido, É mais barato, É bom pra minha saúde mental",Discordo,Concordo parcialmente,Discordo,Discordo,Concordo,Concordo parcialmente,,,,,,,,,,,,,,Bicicleta,Motocicleta,Motocicleta,,,,,1 - Muito desconfortável,5 - Muito confortável,2,1 - Muito desconfortável,3,1 - Muito desconfortável,2,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,4 - Concordo,Sim,Entre 2 e 3 salários mínimos,Sim,SR 6,De jeito nenhum,Ciclista,FALSE
2024-03-05T08:27:33.876Z,,Centro da Messejana,71-80,Masculino,Pardo (a),Outro,Sao miguel,Aposentado (a),,,,Utilizo raramente,,,,,,,,,,,,Concordo parcialmente,"Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, Não gosto de andar de bicicleta, Não há ciclovias ou ciclofaixas no meu caminho",Concordo parcialmente,Concordo,Concordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,,A pé,Ônibus Municipal ou Vans,Bicicleta,,,,,4,1 - Muito desconfortável,2,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,3,3 - Não sei dizer,Sim,Menor que 1 salário mínimo,,,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T08:27:49.478001Z,,Centro da Messejana,41-45,Masculino,Pardo (a),Jangurussu,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Discordo,Não sei andar de bicicleta,Discordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo totalmente,Discordo totalmente,Discordo,,Ônibus Municipal ou Vans,Uber moto,Não gostaria,Sim,Concordo fortemente,Não,Não sei andar de bicicleta,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Discordo fortemente,Não,Entre 2 e 3 salários mínimos,,SR 9,Entusiasmado e confiante,Não ciclista,FALSE
